log_file,job_date,experiment_name,MODEL_NAME,MODEL_ID,SUPCON_SIMILARITY,TEMPERATURE,UNIFORMITY_WEIGHT,UNIFORMITY_T,QUEUE_SIZE,USE_QUEUE,GLOBAL_CENTER,CENTER_BEFORE_NORM,TOPK_NEG,WARMUP_EPOCHS,ALPHA_END,ALPHA_RAMP_EPOCHS,MAX_DURATION_SECONDS,BATCH_SIZE,ACCUM_STEPS,NUM_WORKERS,SEED,RAWBOOST_PROB,USE_RAWBOOST,FINETUNE_ENCODER,HEAD_LR,ENC_LR,WEIGHT_DECAY,NUM_SAMPLES,TARGET_SAMPLE_RATE,INPUT_DIM,HIDDEN_DIM,DROPOUT,USE_RAVDESS,USE_COMMONVOICE,best_dev_loss,best_dev_epoch,final_train_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la,hyperparams
asv5_supcon_geodesic_temp_0.05-39934771.log,2026-01-15 03:29:28,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,15,100,1.0,80,5,32,,16,1337,0.7,True,True,0.05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40142742.log,2026-01-16 04:49:28,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40162115.log,2026-01-16 13:05:48,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40167061.log,2026-01-16 14:12:19,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40172041.log,2026-01-16 14:24:32,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40186662.log,2026-01-16 16:55:54,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05-40195727.log,2026-01-16 20:16:55,asv5_supcon_geodesic_temp_0.05,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.0,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-39934716.log,2026-01-15 03:03:03,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.01,0.5,,,,,15,100,1.0,80,5,32,,16,1337,0.7,True,True,0.05,0.0001,0.003,None,16000,1024,256,0.1,,,,,,,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.01
UNIFORMITY_T=0.5
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40217832.log,2026-01-17 16:02:09,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.01,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.7,True,True,5e-05,0.0001,0.003,None,16000,1024,256,0.1,,,3.4328,1,2.7372,3.8244,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.01
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40236099.log,2026-01-18 01:12:53,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,facebook/wav2vec2-xls-r-300m,,geodesic,0.05,0.01,0.5,,,,,7,100,1.0,80,5,64,,10,1337,0.0,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,,,3.5772,1,2.7991,3.5772,,,,,,,,,"TEMPERATURE=0.05
UNIFORMITY_WEIGHT=0.01
UNIFORMITY_T=0.5
TOPK_NEG=7
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
