experiment_name,run_index,log_file,job_date,similarity,temperature,queue_size,hbm,uniformity_weight,uniformity_t,alpha_end,alpha_ramp_epochs,windowed,best_dev_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la
asv5_supcon_geodesic_temp_0.05,1,asv5_supcon_geodesic_temp_0.05-39934771.log,2026-01-15 03:29:28,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,2,asv5_supcon_geodesic_temp_0.05-40142742.log,2026-01-16 04:49:28,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,3,asv5_supcon_geodesic_temp_0.05-40162115.log,2026-01-16 13:05:48,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,4,asv5_supcon_geodesic_temp_0.05-40167061.log,2026-01-16 14:12:19,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,5,asv5_supcon_geodesic_temp_0.05-40172041.log,2026-01-16 14:24:32,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,6,asv5_supcon_geodesic_temp_0.05-40186662.log,2026-01-16 16:55:54,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05,7,asv5_supcon_geodesic_temp_0.05-40195727.log,2026-01-16 20:16:55,geodesic,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,1,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-39934716.log,2026-01-15 03:03:03,geodesic,0.05,,,0.01,0.5,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,2,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40217832.log,2026-01-17 16:02:09,geodesic,0.05,,,0.01,0.5,,,,3.4328,3.8244,,,,,,,,
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,3,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40236099.log,2026-01-18 01:12:53,geodesic,0.05,,,0.01,0.5,,,,3.5772,3.5772,,,,,,,,
