experiment_name,run_index,log_file,job_date,similarity,temperature,queue_size,hbm,uniformity_weight,uniformity_t,alpha_end,alpha_ramp_epochs,windowed,best_dev_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,5,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40237022.log,2026-01-18 01:53:50,geodesic,0.05,,,0.01,0.5,,,,2.8559,3.059,40.92499871927786,,21.916089591332312,,,,47.4043549043549,47.50623547998297
asv5_windowed_supcon_geodesic_temp_0.05,6,asv5_windowed_supcon_geodesic_temp_0.05-40265245.log,2026-01-18 15:11:20,geodesic,0.05,,,,,,,1,2.5393,3.0671,40.54210951611987,,16.958109352581012,,,,,
hbm_256_alp_ramp_2_alp_end_1_mem_bank_16384_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41532970.log,2026-02-02 00:33:18,geodesic,0.5,16384,256,,,1,2,,1.1105,1.1105,0.17681957414216998,13.253868420966059,17.902097259462664,49.64785313061427,60.781050982909534,,,
hbm_256_alp_ramp_2_alp_end_1_mem_bank_32768_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5-41533094.log,2026-02-02 00:33:49,geodesic,0.5,32768,256,,,1,2,,0.9953,0.9953,0.14991759853967665,11.230655902654847,16.50033999797984,44.30626575598245,63.006277894133824,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05-41455546.log,2026-02-01 02:36:43,geodesic,0.05,16384,256,,,,,,1.1974,1.1974,2.2840294364113847,21.266055769524332,14.91897474963279,37.83667442734715,57.61039449440645,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-41455553.log,2026-02-01 02:39:14,geodesic,0.05,16384,256,0.01,0.5,,,,1.174,1.174,0.46046435760392773,23.043826280039877,14.802276939868264,46.452842857065974,60.51916734550433,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.2,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.2-40893805.log,2026-01-25 20:59:14,geodesic,0.2,16384,256,,,,,,1.0313,1.0313,0.24446585969359597,13.769970255738178,16.22637095731141,43.25216272367187,65.02067365412391,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41434664.log,2026-01-31 13:30:39,geodesic,0.5,16384,256,,,,,,1.1176,1.1176,0.16062916052457443,10.207693050694902,17.82852179211723,,,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41532485.log,2026-02-02 00:30:17,geodesic,0.5,16384,256,,,,,,0.8895,0.8895,0.16297723979573062,14.616408373432623,16.384916648855175,42.000714950283275,64.47547474622306,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5_uni_weight_0.01_uni_t_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5_uni_weight_0.01_uni_t_0.5-41455550.log,2026-02-01 02:38:13,geodesic,0.5,16384,256,0.01,0.5,,,,1.0084,1.0084,0.1645426259765014,13.263109238550358,17.05283935153414,50.45156838169367,60.09750504303594,,,
