experiment_name,run_index,log_file,similarity,temperature,queue_size,hbm,uniformity_weight,uniformity_t,alpha_end,alpha_ramp_epochs,windowed,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad
hbm_256_alp_ramp_2_alp_end_1_mem_bank_16384_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41532970.log,geodesic,0.5,16384,256,,,1,2,,0.17681957414216998,13.253868420966059,17.902097259462664,49.64785313061427,60.781050982909534,
hbm_256_alp_ramp_2_alp_end_1_mem_bank_32768_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5-41533094.log,geodesic,0.5,32768,256,,,1,2,,0.14991759853967665,11.230655902654847,16.50033999797984,44.30626575598245,63.006277894133824,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05-41455546.log,geodesic,0.05,16384,256,,,,,,2.2840294364113847,21.266055769524332,14.91897474963279,37.83667442734715,57.61039449440645,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-41455553.log,geodesic,0.05,16384,256,0.01,0.5,,,,0.46046435760392773,23.043826280039877,14.802276939868264,46.452842857065974,60.51916734550433,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.2,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.2-40893805.log,geodesic,0.2,16384,256,,,,,,0.24446585969359597,13.769970255738178,16.22637095731141,43.25216272367187,65.02067365412391,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41434664.log,geodesic,0.5,16384,256,,,,,,0.16062916052457443,10.207693050694902,17.82852179211723,,,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5-41532485.log,geodesic,0.5,16384,256,,,,,,0.16297723979573062,14.616408373432623,16.384916648855175,42.000714950283275,64.47547474622306,
hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5_uni_weight_0.01_uni_t_0.5,2,hbm_256_mem_bank_16384_supcon_geodesic_temp_0.5_uni_weight_0.01_uni_t_0.5-41455550.log,geodesic,0.5,16384,256,0.01,0.5,,,,0.1645426259765014,13.263109238550358,17.05283935153414,50.45156838169367,60.09750504303594,
hbm_256_mem_bank_16384_supcon_temp_0.2,1,hbm_256_mem_bank_16384_supcon_temp_0.2-40893860.log,cosine,0.2,16384,256,,,,,,0.7203379378247338,29.019328742262555,29.50070976003921,42.55954442151552,74.61993766543493,
hbm_256_mem_bank_16384_supcon_temp_0.5,1,hbm_256_mem_bank_16384_supcon_temp_0.5-41434665.log,cosine,0.5,16384,256,,,,,,0.6795936278758012,13.643881159834251,15.358784147916607,40.164245681200406,74.321811968399,
hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5,1,hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5-41532779.log,geodesic,0.5,32768,256,,,,,,0.1906619084886093,12.193942298668922,17.789591776766645,51.17137341646466,66.4025759604114,
mem_bank_0_supcon_geodesic_temp_0.2,1,mem_bank_0_supcon_geodesic_temp_0.2-40856300.log,geodesic,0.2,0,,,,,,,1.9988192667688562,15.233381484927888,16.433329730098865,39.99125896412307,67.08612190028501,
mem_bank_0_supcon_geodesic_temp_0.5,5,mem_bank_0_supcon_geodesic_temp_0.5-41415271.log,geodesic,0.5,0,,,,,,,0.2583081940400353,20.761699385908617,16.216250661098375,,,
mem_bank_0_supcon_temp_0.5,4,mem_bank_0_supcon_temp_0.5-41415269.log,cosine,0.5,0,,,,,,,0.17681957414216998,25.71847054661144,19.17758140900062,,,
mem_bank_1024_supcon_geodesic_temp_0.05,7,mem_bank_1024_supcon_geodesic_temp_0.05-40756140.log,geodesic,0.05,1024,,,,,,,3.205740844709626,11.778711740619944,15.34738939106371,38.44555037165686,70.60595657199504,
mem_bank_1024_supcon_geodesic_temp_0.2,2,mem_bank_1024_supcon_geodesic_temp_0.2-40797589.log,geodesic,0.2,1024,,,,,,,0.6526916522733078,14.597926738264027,,,,
mem_bank_1024_supcon_geodesic_temp_0.2,3,mem_bank_1024_supcon_geodesic_temp_0.2-40809324.log,geodesic,0.2,1024,,,,,,,0.6526916522733078,14.597926738264027,16.696153130129755,36.70249703811263,66.26422892843865,
mem_bank_1024_supcon_geodesic_temp_0.2,4,mem_bank_1024_supcon_geodesic_temp_0.2-40840082.log,geodesic,0.2,1024,,,,,,,0.6526916522733078,14.597926738264027,16.696153130129755,36.70249703811263,66.26422892843865,
mem_bank_1024_supcon_geodesic_temp_0.5,2,mem_bank_1024_supcon_geodesic_temp_0.5-40797672.log,geodesic,0.5,1024,,,,,,,1.0055481074672623,17.65584755969159,15.811816181416566,45.28313558260092,63.56628722857497,
mem_bank_1024_supcon_geodesic_temp_0.5,3,mem_bank_1024_supcon_geodesic_temp_0.5-40809318.log,geodesic,0.5,1024,,,,,,,1.0055481074672623,17.65584755969159,15.811816181416566,45.28313558260092,63.56628722857497,
