filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,spoof,0.000000064,0.999999936,0.000000064,16.561592102,-16.561592102,0.000000,10.000000
audio 2,spoof,0.000000061,0.999999939,0.000000061,16.607381821,-16.607381821,5.000000,15.000000
audio 3,spoof,0.000000061,0.999999939,0.000000061,16.606636047,-16.606636047,10.000000,20.000000
audio 4,spoof,0.000000058,0.999999942,0.000000058,16.667182922,-16.667182922,15.000000,25.000000
audio 5,spoof,0.000000063,0.999999937,0.000000063,16.583311081,-16.583311081,20.000000,30.000000
audio 6,spoof,0.000000064,0.999999936,0.000000064,16.565204620,-16.565204620,25.000000,35.000000
audio 7,spoof,0.000000061,0.999999939,0.000000061,16.619531631,-16.619531631,30.000000,40.000000
audio 8,spoof,0.000000055,0.999999945,0.000000055,16.717336655,-16.717336655,35.000000,45.000000
audio 9,spoof,0.000000057,0.999999943,0.000000057,16.672334671,-16.672334671,40.000000,50.000000
audio 10,spoof,0.000000074,0.999999926,0.000000074,16.417091370,-16.417091370,45.000000,55.000000
audio 11,spoof,0.000000061,0.999999939,0.000000061,16.613985062,-16.613985062,50.000000,60.000000
audio 12,spoof,0.000000051,0.999999949,0.000000051,16.788984299,-16.788984299,55.000000,65.000000
audio 13,spoof,0.000000053,0.999999947,0.000000053,16.753330231,-16.753330231,60.000000,70.000000
audio 14,spoof,0.000000057,0.999999943,0.000000057,16.673038483,-16.673038483,65.000000,75.000000
audio 15,spoof,0.000000061,0.999999939,0.000000061,16.617826462,-16.617826462,70.000000,80.000000
audio 16,spoof,0.000000057,0.999999943,0.000000057,16.671573639,-16.671573639,75.000000,85.000000
audio 17,spoof,0.000000059,0.999999941,0.000000059,16.641790390,-16.641790390,80.000000,90.000000
audio 18,spoof,0.000000059,0.999999941,0.000000059,16.646806717,-16.646806717,85.000000,95.000000
audio 19,spoof,0.000000062,0.999999938,0.000000062,16.598215103,-16.598215103,90.000000,100.000000
audio 20,spoof,0.000000064,0.999999936,0.000000064,16.562437057,-16.562437057,95.000000,105.000000
audio 21,spoof,0.000000059,0.999999941,0.000000059,16.648237228,-16.648237228,100.000000,110.000000
audio 22,spoof,0.000000059,0.999999941,0.000000059,16.651350021,-16.651350021,105.000000,115.000000
audio 23,spoof,0.000000058,0.999999942,0.000000058,16.669992447,-16.669992447,110.000000,120.000000
audio 24,spoof,0.000000061,0.999999939,0.000000061,16.607204437,-16.607204437,115.000000,125.000000
audio 25,spoof,0.000000067,0.999999933,0.000000067,16.523485184,-16.523485184,120.000000,130.000000
audio 26,spoof,0.000000057,0.999999943,0.000000057,16.686746597,-16.686746597,125.000000,135.000000
audio 27,spoof,0.000000056,0.999999944,0.000000056,16.701347351,-16.701347351,130.000000,140.000000
audio 28,spoof,0.000000057,0.999999943,0.000000057,16.675994873,-16.675994873,135.000000,145.000000
audio 29,spoof,0.000000064,0.999999936,0.000000064,16.562881470,-16.562881470,140.000000,150.000000
audio 30,spoof,0.000000063,0.999999937,0.000000063,16.582866669,-16.582866669,145.000000,155.000000
audio 31,spoof,0.000000062,0.999999938,0.000000062,16.602901459,-16.602901459,150.000000,160.000000
audio 32,spoof,0.000000062,0.999999938,0.000000062,16.600921631,-16.600921631,155.000000,165.000000
audio 33,spoof,0.000000053,0.999999947,0.000000053,16.744564056,-16.744564056,160.000000,170.000000
audio 34,spoof,0.000000046,0.999999954,0.000000046,16.903106689,-16.903106689,165.000000,175.000000
audio 35,spoof,0.000000052,0.999999948,0.000000052,16.777196884,-16.777196884,170.000000,180.000000
audio 36,spoof,0.000000062,0.999999938,0.000000062,16.590030670,-16.590030670,175.000000,185.000000
audio 37,spoof,0.000000060,0.999999940,0.000000060,16.620929718,-16.620929718,180.000000,190.000000
audio 38,spoof,0.000000060,0.999999940,0.000000060,16.623376846,-16.623376846,185.000000,195.000000
audio 39,spoof,0.000000066,0.999999934,0.000000066,16.536973953,-16.536973953,190.000000,200.000000
audio 40,spoof,0.000000063,0.999999937,0.000000063,16.574209213,-16.574209213,195.000000,205.000000
audio 41,spoof,0.000000055,0.999999945,0.000000055,16.716033936,-16.716033936,200.000000,210.000000
audio 42,spoof,0.000000066,0.999999934,0.000000066,16.533229828,-16.533229828,205.000000,215.000000
audio 43,spoof,0.000000058,0.999999942,0.000000058,16.663560867,-16.663560867,210.000000,220.000000
audio 44,spoof,0.000000053,0.999999947,0.000000053,16.752422333,-16.752422333,215.000000,225.000000
audio 45,spoof,0.000000054,0.999999946,0.000000054,16.741041183,-16.741041183,220.000000,230.000000
audio 46,spoof,0.000000031,0.999999969,0.000000031,17.294008255,-17.294008255,225.000000,235.000000
audio 47,spoof,0.000000051,0.999999949,0.000000051,16.800197601,-16.800197601,230.000000,240.000000
audio 48,spoof,0.000000058,0.999999942,0.000000058,16.666479111,-16.666479111,235.000000,245.000000
audio 49,spoof,0.000000051,0.999999949,0.000000051,16.797948837,-16.797948837,240.000000,250.000000
audio 50,spoof,0.000000030,0.999999970,0.000000030,17.306245804,-17.306245804,245.000000,255.000000
audio 51,spoof,0.000000059,0.999999941,0.000000059,16.639431000,-16.639431000,250.000000,260.000000
audio 52,spoof,0.000000058,0.999999942,0.000000058,16.655815125,-16.655815125,255.000000,265.000000
audio 53,spoof,0.000000060,0.999999940,0.000000060,16.636903763,-16.636903763,260.000000,270.000000
audio 54,spoof,0.000000058,0.999999942,0.000000058,16.660099030,-16.660099030,265.000000,275.000000
audio 55,spoof,0.000000059,0.999999941,0.000000059,16.651485443,-16.651485443,270.000000,280.000000
audio 56,spoof,0.000000057,0.999999943,0.000000057,16.671581268,-16.671581268,275.000000,285.000000
audio 57,spoof,0.000000061,0.999999939,0.000000061,16.615283966,-16.615283966,280.000000,290.000000
audio 58,spoof,0.000000061,0.999999939,0.000000061,16.610149384,-16.610149384,285.000000,295.000000
audio 59,spoof,0.000000049,0.999999951,0.000000049,16.838891983,-16.838891983,290.000000,300.000000
audio 60,spoof,0.000000061,0.999999939,0.000000061,16.608562469,-16.608562469,295.000000,305.000000
audio 61,spoof,0.000000063,0.999999937,0.000000063,16.586698532,-16.586698532,300.000000,310.000000
audio 62,spoof,0.000000047,0.999999953,0.000000047,16.876596451,-16.876596451,305.000000,315.000000
audio 63,spoof,0.000000038,0.999999962,0.000000038,17.092788696,-17.092788696,310.000000,320.000000
