asv
experiment	eer	acc
asv5_supcon_geodesic_temp_0.05	39.6058	60.39
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5	32.3170	67.69
asv5_supcon_temp_0.6	55.5402	44.35
baseline	5.0730	94.93
facebook	1.0055	99.00
facebook	31.3391	68.66
supcon	0.2991	99.70
supcon_geodesic	0.2967	99.71
supcon_geodesic_dist	0.7872	99.22
supcon_geodesic_temp_0.01	0.2991	99.70
supcon_geodesic_temp_0.03	0.3536	99.64
supcon_geodesic_temp_0.05	0.2037	99.80
supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5	0.2991	99.70
supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5	1.1816	98.82
supcon_geodesic_temp_0.05_wt_rav_comm_voice	0.5435	99.46
supcon_geodesic_temp_0.07	0.1907	99.81
supcon_geodesic_temp_0.1	0.3698	99.63
supcon_geodesic_temp_0.6	0.5281	99.48
supcon_temp_0.05	0.3698	99.63
supcon_temp_0.07	0.3260	99.67
supcon_temp_0.07_batch_64	2.8845	97.12
supcon_temp_0.1	0.2991	99.70
supcon_temp_0.6	1.2132	98.79
supcon_uniformity	1.4438	98.55
supcon_uniformity_weight_0.01	0.3920	99.61
supcon_uniformity_weight_0.01_t_1	0.2852	99.71
supcon_uniformity_weight_0.01_t_4	0.3920	99.61
supcon_uniformity_weight_0.05	0.2176	99.78
supcon_uniformity_weight_0.05_t_0.5	0.3429	99.65
supcon_uniformity_weight_0.05_t_0.5_wt_rav_comm_voice	1.1416	98.86
supcon_uniformity_weight_0.05_t_1	0.2852	99.71
supcon_uniformity_weight_0.05_t_4	0.2722	99.73
supcon_uniformity_weight_0.1	0.2314	99.77
supcon_uniformity_weight_0.6	0.9379	99.06
vanilla_supcon	0.6966	99.30
windowed_loader_supcon_geodesic_temp_0.05	0.1930	99.80
windowed_loader_supcon_temp_0.6	11.9906	88.01

itw
experiment	eer	acc
asv5_supcon_geodesic_temp_0.05	28.6982	71.30
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5	23.3077	76.70
asv5_supcon_temp_0.6	31.0266	68.99
baseline	14.4590	85.54
facebook	16.8943	83.10
facebook	46.2944	53.71
supcon	13.6943	86.31
supcon_geodesic	14.8526	85.14
supcon_geodesic_dist	21.0643	78.93
supcon_geodesic_temp_0.01	13.5338	86.46
supcon_geodesic_temp_0.03	11.9510	88.05
supcon_geodesic_temp_0.05	9.6227	90.38
supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5	11.2214	88.78
supcon_geodesic_temp_0.05_uni_weight_0.05_uni_t_0.5	17.0683	82.94
supcon_geodesic_temp_0.05_wt_rav_comm_voice	24.1105	75.89
supcon_geodesic_temp_0.07	12.6714	87.32
supcon_geodesic_temp_0.1	10.2993	89.70
supcon_geodesic_temp_0.6	10.4784	89.52
supcon_temp_0.05	18.2703	81.73
supcon_temp_0.07	12.1023	87.89
supcon_temp_0.07_batch_64	40.5484	59.45
supcon_temp_0.1	15.8848	84.11
supcon_temp_0.6	9.0973	90.91
supcon_uniformity	15.1392	84.86
supcon_uniformity_weight_0.01	11.6274	88.37
supcon_uniformity_weight_0.01_t_1	12.0863	87.92
supcon_uniformity_weight_0.01_t_4	11.1113	88.89
supcon_uniformity_weight_0.05	13.4808	86.52
supcon_uniformity_weight_0.05_t_0.5	9.6479	90.36
supcon_uniformity_weight_0.05_t_0.5_wt_rav_comm_voice	42.8902	57.12
supcon_uniformity_weight_0.05_t_1	12.9487	87.05
supcon_uniformity_weight_0.05_t_4	14.5887	85.41
supcon_uniformity_weight_0.1	18.5090	81.49
supcon_uniformity_weight_0.6	18.0526	81.95
vanilla_supcon	21.6334	78.36
windowed_loader_supcon_geodesic_temp_0.05	12.5243	87.48
windowed_loader_supcon_temp_0.6	11.4601	88.54
