Setting up the environment...
Job started on gl1522.arc-ts.umich.edu at Thu Feb  5 20:42:38 EST 2026
Python version: Python 3.9.7
PyTorch version: 2.8.0+cu128
CUDA available: True
Current GPU: NVIDIA A40
NVIDIA A40
----------------------------------------------------------------
MLAAD_ROOT=/nfs/turbo/umd-hafiz/issf_server_data/multilingual
MLAAD_PROTOCOL=/nfs/turbo/umd-hafiz/issf_server_data/multilingual/protocol_MLAAD_MAILabs_total_balanced.txt
MLAAD_STAGE2_SPLIT_SEED=2027
MLAAD_MAX_DURATION_SECONDS=10
USE_AMP=1
ACCUM_STEPS=2
USE_QUEUE=1
QUEUE_SIZE=16384
EXPERIMENT NAME: mlaad_mem_bank_16384_supcon_geodesic_temp_0.05
Detected NUM_GPUS=2
Using BATCH_SIZE=32
Using device: cuda
[OK] Loaded finetuned encoder weights from checkpoint.
[OK] Saved train: embeddings (246398, 256), labels (246398,)
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/MLAAD/mlaad_mem_bank_16384_supcon_geodesic_temp_0.05/train_embeddings.npy
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/MLAAD/mlaad_mem_bank_16384_supcon_geodesic_temp_0.05/train_labels.npy
[OK] Saved dev: embeddings (61600, 256), labels (61600,)
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/MLAAD/mlaad_mem_bank_16384_supcon_geodesic_temp_0.05/dev_embeddings.npy
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/MLAAD/mlaad_mem_bank_16384_supcon_geodesic_temp_0.05/dev_labels.npy
Using device: cuda
Train embeddings: (246398, 256), Dev embeddings: (61600, 256)
Class balance: pos_weight=0.998
[epoch 001 | step 0010] train_loss=0.6883
[epoch 001 | step 0020] train_loss=0.6896
[epoch 001 | step 0030] train_loss=0.6976
[epoch 001 | step 0040] train_loss=0.6968
[epoch 001 | step 0050] train_loss=0.6889
[epoch 001 | step 0060] train_loss=0.6970
[epoch 001 | step 0070] train_loss=0.6982
[epoch 001 | step 0080] train_loss=0.6944
[epoch 001 | step 0090] train_loss=0.6860
[epoch 001 | step 0100] train_loss=0.6913
[epoch 001 | step 0110] train_loss=0.6921
[epoch 001 | step 0120] train_loss=0.6936
[epoch 001 | step 0130] train_loss=0.6912
[epoch 001 | step 0140] train_loss=0.6882
[epoch 001 | step 0150] train_loss=0.6911
[epoch 001 | step 0160] train_loss=0.6897
[epoch 001 | step 0170] train_loss=0.6923
[epoch 001 | step 0180] train_loss=0.6861
[epoch 001 | step 0190] train_loss=0.6925
[epoch 001 | step 0200] train_loss=0.6873
[epoch 001 | step 0210] train_loss=0.6895
[epoch 001 | step 0220] train_loss=0.6861
[epoch 001 | step 0230] train_loss=0.6886
[epoch 001 | step 0240] train_loss=0.6856
[epoch 001 | step 0250] train_loss=0.6918
[epoch 001 | step 0260] train_loss=0.6930
[epoch 001 | step 0270] train_loss=0.6884
[epoch 001 | step 0280] train_loss=0.6837
[epoch 001 | step 0290] train_loss=0.6861
[epoch 001 | step 0300] train_loss=0.6881
[epoch 001 | step 0310] train_loss=0.6877
[epoch 001 | step 0320] train_loss=0.6868
[epoch 001 | step 0330] train_loss=0.6893
[epoch 001 | step 0340] train_loss=0.6845
[epoch 001 | step 0350] train_loss=0.6859
[epoch 001 | step 0360] train_loss=0.6864
[epoch 001 | step 0370] train_loss=0.6878
[epoch 001 | step 0380] train_loss=0.6819
[epoch 001 | step 0390] train_loss=0.6838
[epoch 001 | step 0400] train_loss=0.6899
[epoch 001 | step 0410] train_loss=0.6896
[epoch 001 | step 0420] train_loss=0.6871
[epoch 001 | step 0430] train_loss=0.6829
[epoch 001 | step 0440] train_loss=0.6849
[epoch 001 | step 0450] train_loss=0.6892
[epoch 001 | step 0460] train_loss=0.6833
[epoch 001 | step 0470] train_loss=0.6868
[epoch 001 | step 0480] train_loss=0.6840
[epoch 001 | step 0490] train_loss=0.6889
[epoch 001 | step 0500] train_loss=0.6817
[epoch 001 | step 0510] train_loss=0.6825
[epoch 001 | step 0520] train_loss=0.6838
[epoch 001 | step 0530] train_loss=0.6806
[epoch 001 | step 0540] train_loss=0.6828
[epoch 001 | step 0550] train_loss=0.6769
[epoch 001 | step 0560] train_loss=0.6767
[epoch 001 | step 0570] train_loss=0.6854
[epoch 001 | step 0580] train_loss=0.6787
[epoch 001 | step 0590] train_loss=0.6787
[epoch 001 | step 0600] train_loss=0.6889
[epoch 001 | step 0610] train_loss=0.6847
[epoch 001 | step 0620] train_loss=0.6796
[epoch 001 | step 0630] train_loss=0.6813
[epoch 001 | step 0640] train_loss=0.6772
[epoch 001 | step 0650] train_loss=0.6896
[epoch 001 | step 0660] train_loss=0.6804
[epoch 001 | step 0670] train_loss=0.6812
[epoch 001 | step 0680] train_loss=0.6763
[epoch 001 | step 0690] train_loss=0.6727
[epoch 001 | step 0700] train_loss=0.6751
[epoch 001 | step 0710] train_loss=0.6830
[epoch 001 | step 0720] train_loss=0.6745
[epoch 001 | step 0730] train_loss=0.6829
[epoch 001 | step 0740] train_loss=0.6801
[epoch 001 | step 0750] train_loss=0.6860
[epoch 001 | step 0760] train_loss=0.6705
[epoch 001 | step 0770] train_loss=0.6808
[epoch 001 | step 0780] train_loss=0.6688
[epoch 001 | step 0790] train_loss=0.6847
[epoch 001 | step 0800] train_loss=0.6833
[epoch 001 | step 0810] train_loss=0.6871
[epoch 001 | step 0820] train_loss=0.6692
[epoch 001 | step 0830] train_loss=0.6707
[epoch 001 | step 0840] train_loss=0.6811
[epoch 001 | step 0850] train_loss=0.6803
[epoch 001 | step 0860] train_loss=0.6771
[epoch 001 | step 0870] train_loss=0.6797
[epoch 001 | step 0880] train_loss=0.6813
[epoch 001 | step 0890] train_loss=0.6806
[epoch 001 | step 0900] train_loss=0.6880
[epoch 001 | step 0910] train_loss=0.6796
[epoch 001 | step 0920] train_loss=0.6734
[epoch 001 | step 0930] train_loss=0.6671
