Setting up the environment...
Job started on gl1504.arc-ts.umich.edu at Sat Dec 27 16:02:41 EST 2025
Python version: Python 3.9.7
PyTorch version: 2.8.0+cu128
CUDA available: True
Current GPU: NVIDIA A40
----------------------------------------------------------------
EXPERIMENT NAME: supcon_temp_0.6
=== CONFIG ===
MODEL_NAME=facebook/wav2vec2-xls-r-300m
SAVE_DIR=/home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m
TRAIN_ROOT=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_LA_train/flac
TRAIN_PROTOCOL=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_train_protocol_with_speaker.txt
DEV_ROOT=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_LA_dev/flac
DEV_PROTOCOL=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_dev_protocol_with_speaker.txt
TARGET_SAMPLE_RATE=16000
MAX_DURATION_SECONDS=5
INPUT_DIM=1024
HIDDEN_DIM=256
DROPOUT=0.1
EPOCHS=100
BATCH_SIZE=32
NUM_SAMPLES=None
HEAD_LR=0.005
ENC_LR=1e-05
WEIGHT_DECAY=0.003
TEMPERATURE=0.6
NUM_WORKERS=4
SEED=1337
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=2.0
SUPCON_SIMILARITY=cosine
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80
USE_RAWBOOST=True
RAWBOOST_PROB=0.7
FINETUNE_ENCODER=True
DISTRIBUTED=False | WORLD_SIZE=1 | RANK=0
=============
Using device: cuda:0 | RawBoost=True (p=0.7)
CUDA device count: 1
[epoch 001] alpha=0.00 | train_loss=3.1172 | dev_loss=3.0012
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=3.0012)
[epoch 002] alpha=0.00 | train_loss=2.8720 | dev_loss=3.1043
[epoch 003] alpha=0.00 | train_loss=2.8137 | dev_loss=2.7998
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7998)
[epoch 004] alpha=0.00 | train_loss=2.8055 | dev_loss=2.8609
[epoch 005] alpha=0.00 | train_loss=2.8002 | dev_loss=2.8648
[epoch 006] alpha=0.00 | train_loss=2.7937 | dev_loss=2.8063
[epoch 007] alpha=0.00 | train_loss=2.7738 | dev_loss=2.7669
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7669)
[epoch 008] alpha=0.00 | train_loss=2.7748 | dev_loss=2.7647
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7647)
[epoch 009] alpha=0.00 | train_loss=2.7857 | dev_loss=2.8279
[epoch 010] alpha=0.00 | train_loss=2.7672 | dev_loss=2.7489
